타임스탬프,,guide,,,,,content_id,light,interior,story,probability,creativity,production,activity,scale,fear,device,fun,service
2023. 11. 15 오후 9:15:05,,0,,,,,441506,0,0,1,0,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:15:11,,0,,,,,444759,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:15:19,,-1,,,,,448522,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:15:38,,0,,,,,458656,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:15:46,,0,,,,,459071,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:15:57,,0,,,,,464603,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:16:04,,0,,,,,467189,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:16:17,,-1,,,,,780088,0,0,0,0,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:16:28,,0,,,,,497685,0,0,0,0,0,0,0,1,0,0,1,0
2023. 11. 15 오후 9:16:54,,0,,,,,502050,0,0,0,0,0,0,0,0,0,-1,0,-1
2023. 11. 15 오후 9:17:03,,0,,,,,426966,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:17:24,,0,,,,,428144,0,0,0,0,0,0,0,0,0,0,-1,0
2023. 11. 15 오후 9:17:35,,0,,,,,431060,0,0,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:17:43,,0,,,,,431290,0,0,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:17:59,,0,,,,,431656,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:18:11,,0,,,,,432824,0,0,-1,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:18:23,,0,,,,,437418,0,0,1,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:18:34,,0,,,,,442226,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:18:44,,0,,,,,444384,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:18:55,,0,,,,,444442,0,0,1,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:19:16,,0,,,,,427119,0,0,1,0,0,0,0,0,0,1,0,0
2023. 11. 15 오후 9:19:38,,0,,,,,428038,0,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:20:01,,0,,,,,428187,0,0,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:20:16,,0,,,,,428518,0,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:20:28,,0,,,,,429319,0,0,0,-1,0,0,0,0,-1,0,0,0
2023. 11. 15 오후 9:20:40,,0,,,,,431265,0,0,0,0,0,0,0,0,-1,0,1,0
2023. 11. 15 오후 9:20:48,,0,,,,,431325,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:20:59,,0,,,,,431505,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:21:12,,0,,,,,431993,0,0,0,0,0,0,1,0,0,0,0,1
2023. 11. 15 오후 9:21:21,,0,,,,,433104,0,0,0,0,0,1,0,0,1,0,0,0
2023. 11. 15 오후 9:21:37,,0,,,,,424494,0,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:22:05,,0,,,,,424895,0,0,-1,0,0,0,0,0,0,0,-1,0
2023. 11. 15 오후 9:22:19,,0,,,,,425274,0,0,-1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:22:30,,0,,,,,426280,0,0,0,0,0,0,1,1,0,0,0,0
2023. 11. 15 오후 9:22:39,,0,,,,,426323,0,0,0,0,0,0,1,1,0,0,0,0
2023. 11. 15 오후 9:22:50,,0,,,,,426968,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:23:02,,0,,,,,428086,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:23:11,,0,,,,,428940,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:23:30,,0,,,,,431072,0,0,1,0,0,0,1,0,0,0,1,0
2023. 11. 15 오후 9:23:36,,0,,,,,431639,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:23:44,,0,,,,,425057,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:23:54,,0,,,,,425082,0,1,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:24:03,,0,,,,,425368,0,0,0,1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:24:16,,0,,,,,425538,0,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:24:26,,0,,,,,425595,0,0,1,0,0,0,0,0,0,0,-1,0
2023. 11. 15 오후 9:24:34,,0,,,,,428689,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:24:49,,0,,,,,428812,0,0,1,0,1,1,0,0,0,0,0,0
2023. 11. 15 오후 9:25:01,,0,,,,,429304,0,0,0,0,1,0,0,0,0,0,1,0
2023. 11. 15 오후 9:25:13,,0,,,,,429909,0,0,0,-1,1,0,0,0,0,0,0,0
2023. 11. 15 오후 9:25:27,,0,,,,,430757,0,0,0,1,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:25:35,,0,,,,,425056,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:25:42,,0,,,,,425083,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:25:54,,0,,,,,425366,0,0,1,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:26:00,,0,,,,,425398,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:26:15,,0,,,,,425590,0,0,1,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:26:22,,0,,,,,426845,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:26:30,,0,,,,,428678,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:26:42,,0,,,,,428810,0,1,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:27:27,,0,,,,,428841,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:27:54,,0,,,,,429901,0,0,1,-1,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:28:01,,0,,,,,425656,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:28:07,,0,,,,,426212,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:28:16,,0,,,,,426811,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:28:26,,0,,,,,426813,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:28:36,,0,,,,,427229,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:28:46,,0,,,,,428229,0,0,1,0,0,0,0,1,0,0,1,0
2023. 11. 15 오후 9:29:00,,0,,,,,430660,0,0,-1,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:29:17,,0,,,,,434335,0,0,0,0,0,0,0,0,0,0,-1,1
2023. 11. 15 오후 9:29:27,,0,,,,,432940,0,0,1,0,0,0,0,0,0,0,0,1
2023. 11. 15 오후 9:29:40,,0,,,,,432941,0,0,1,0,0,0,1,0,0,0,1,0
2023. 11. 15 오후 9:29:46,,0,,,,,426632,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:30:00,,0,,,,,453403,0,0,1,0,0,-1,0,0,0,0,0,0
2023. 11. 15 오후 9:30:29,,0,,,,,463751,0,0,0,0,0,0,0,0,0,1,1,0
2023. 11. 15 오후 9:30:44,,0,,,,,480500,0,0,1,0,0,-1,0,0,0,0,0,0
2023. 11. 15 오후 9:30:56,,0,,,,,494365,0,0,-1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:31:04,,0,,,,,527694,0,0,0,0,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:31:14,,0,,,,,539519,0,0,0,0,0,-1,0,0,0,0,0,0
2023. 11. 15 오후 9:31:23,,0,,,,,539901,0,0,0,0,0,-1,0,0,0,0,0,0
2023. 11. 15 오후 9:31:38,,0,,,,,545547,0,0,0,0,0,0,0,-1,0,0,1,0
2023. 11. 15 오후 9:31:55,,0,,,,,546599,0,0,0,1,1,-1,0,0,0,0,1,0
2023. 11. 15 오후 9:32:03,,0,,,,,425801,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:32:23,,0,,,,,426827,0,0,0,0,0,1,0,0,0,-1,1,0
2023. 11. 15 오후 9:32:37,,0,,,,,428110,0,1,-1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:32:56,,0,,,,,430685,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:33:04,,0,,,,,432950,-1,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:33:12,,0,,,,,432953,-1,0,0,0,0,0,0,1,0,0,0,0
2023. 11. 15 오후 9:33:29,,0,,,,,433171,-1,1,0,1,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:33:37,,0,,,,,433244,0,0,0,0,0,0,0,0,0,0,0,-1
2023. 11. 15 오후 9:33:48,,0,,,,,433554,0,0,0,0,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:33:56,,0,,,,,433565,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:34:07,,0,,,,,434164,0,0,0,-1,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:34:14,,0,,,,,435903,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:34:23,,0,,,,,437562,0,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:34:40,,0,,,,,438520,-1,0,0,0,0,0,0,0,0,0,0,-1
2023. 11. 15 오후 9:34:52,,0,,,,,438521,-1,0,0,0,0,0,0,0,0,-1,0,0
2023. 11. 15 오후 9:35:04,,0,,,,,444349,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:35:15,,0,,,,,444894,0,0,1,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:35:24,,0,,,,,447196,0,0,-1,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:35:33,,0,,,,,447293,0,0,0,0,0,-1,0,0,0,0,0,0
2023. 11. 15 오후 9:35:44,,0,,,,,449196,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:35:54,,0,,,,,424492,0,1,0,0,-1,1,0,0,0,0,0,0
2023. 11. 15 오후 9:36:02,,0,,,,,424837,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:36:14,,0,,,,,426258,0,0,0,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:36:23,,0,,,,,428163,0,0,0,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:36:32,,0,,,,,428701,1,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:36:59,,0,,,,,428798,0,0,0,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:37:09,,0,,,,,431062,0,0,0,0,0,1,0,0,1,0,0,0
2023. 11. 15 오후 9:37:16,,0,,,,,431654,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:37:24,,0,,,,,433110,0,0,0,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:37:32,,0,,,,,436958,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:37:45,,0,,,,,424703,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:37:57,,0,,,,,424953,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:38:13,,0,,,,,425550,0,0,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:38:25,,0,,,,,426886,0,0,0,-1,0,0,0,1,0,0,0,1
2023. 11. 15 오후 9:38:37,,0,,,,,429918,0,0,1,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:38:49,,0,,,,,429957,0,0,0,0,0,0,0,1,0,0,1,0
2023. 11. 15 오후 9:39:03,,0,,,,,430454,0,0,-1,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:39:11,,0,,,,,430564,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:39:21,,0,,,,,431028,0,0,1,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:39:41,,0,,,,,431144,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:39:47,,0,,,,,426631,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:40:06,,0,,,,,426675,0,0,0,1,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:40:15,,0,,,,,450016,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:40:28,,0,,,,,462603,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:40:40,,0,,,,,462730,0,1,0,0,1,0,0,0,0,0,1,0
2023. 11. 15 오후 9:40:47,,0,,,,,463753,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:40:55,,0,,,,,465925,0,0,0,0,1,0,0,0,0,0,1,0
2023. 11. 15 오후 9:41:10,,0,,,,,474510,0,0,1,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:41:19,,0,,,,,480502,0,0,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:41:39,,0,,,,,480959,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:42:01,,0,,,,,426628,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:43:06,,0,,,,,432768,0,1,0,0,0,0,0,0,0,0,-1,0
2023. 11. 15 오후 9:43:19,,0,,,,,462602,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:43:32,,0,,,,,462723,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:43:56,,0,,,,,463752,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:44:03,,0,,,,,477442,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:44:12,,0,,,,,480501,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:44:24,,0,,,,,480951,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:44:38,,0,,,,,483573,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:44:47,,0,,,,,527692,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:45:01,,0,,,,,427474,0,0,0,0,1,0,0,0,0,0,0,0
2023. 11. 15 오후 9:45:14,,0,,,,,427579,0,0,0,0,1,0,1,0,0,0,0,0
2023. 11. 15 오후 9:45:25,,0,,,,,447589,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:45:34,,0,,,,,468471,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:45:42,,0,,,,,475354,0,0,0,0,1,0,0,0,0,0,0,0
2023. 11. 15 오후 9:45:52,,0,,,,,479827,0,1,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:46:21,,0,,,,,479829,0,0,0,-1,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:46:31,,0,,,,,481775,0,0,1,1,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:46:45,,0,,,,,483773,0,0,0,1,0,1,0,-1,0,0,0,0
2023. 11. 15 오후 9:47:10,,0,,,,,487486,0,0,0,0,0,0,0,-1,0,0,0,0
2023. 11. 15 오후 9:47:18,,0,,,,,431938,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:47:27,,0,,,,,442397,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:47:36,,0,,,,,452792,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:47:42,,0,,,,,459178,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:47:54,,0,,,,,460708,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:48:05,,0,,,,,460774,0,0,1,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:48:18,,0,,,,,470651,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:48:26,,0,,,,,471153,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:49:11,,0,,,,,473231,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:49:28,,0,,,,,474555,0,0,1,1,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:49:39,,0,,,,,425019,0,1,1,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:49:49,,0,,,,,425685,0,0,1,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:49:57,,0,,,,,431011,0,1,1,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:50:06,,0,,,,,432670,0,1,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:50:14,,0,,,,,435285,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:50:23,,0,,,,,451193,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:50:35,,0,,,,,452596,0,1,0,-1,0,0,0,0,0,0,0,1
2023. 11. 15 오후 9:50:43,,0,,,,,454825,0,1,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:50:51,,0,,,,,457198,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:51:11,,0,,,,,458596,0,1,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:51:29,,0,,,,,424398,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:51:39,,0,,,,,424432,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:51:47,,0,,,,,424857,0,0,0,0,0,0,0,0,0,-1,1,0
2023. 11. 15 오후 9:51:58,,0,,,,,424907,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:52:10,,0,,,,,426306,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:52:24,,0,,,,,426458,0,0,0,-1,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:52:49,,0,,,,,426670,0,1,1,1,0,1,0,1,0,0,1,0
2023. 11. 15 오후 9:52:59,,0,,,,,427469,0,0,1,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:53:10,,0,,,,,427573,0,1,1,1,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:53:24,,-1,,,,,427738,0,0,0,0,0,1,0,0,0,1,0,0
2023. 11. 15 오후 9:53:38,,0,,,,,426272,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:53:55,,0,,,,,427489,0,0,0,0,0,0,0,-1,0,0,1,0
2023. 11. 15 오후 9:54:09,,0,,,,,427675,0,0,0,0,0,0,0,0,-1,0,1,0
2023. 11. 15 오후 9:54:16,,0,,,,,428603,0,1,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:54:26,,0,,,,,428723,0,0,-1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:54:37,,0,,,,,429954,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:54:44,,0,,,,,430965,0,0,-1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:54:53,,0,,,,,433761,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:55:00,,0,,,,,433791,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:55:14,,0,,,,,435329,0,0,1,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:55:20,,0,,,,,428724,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:55:29,,0,,,,,429093,0,0,0,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:55:36,,0,,,,,429953,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:55:47,,0,,,,,430964,0,0,0,0,0,-1,0,0,0,0,-1,0
2023. 11. 15 오후 9:55:57,,0,,,,,433765,0,0,0,0,0,1,1,0,0,0,0,0
2023. 11. 15 오후 9:56:05,,0,,,,,433790,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:56:12,,0,,,,,433862,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:56:21,,0,,,,,438340,0,0,1,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:56:30,,0,,,,,438577,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:56:44,,0,,,,,439020,0,0,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:56:50,,0,,,,,429638,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:57:02,,0,,,,,434194,0,0,0,0,0,0,1,0,0,0,0,0
2023. 11. 15 오후 9:57:09,,0,,,,,435783,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:57:22,,0,,,,,442406,0,0,0,-1,0,0,1,0,0,0,0,1
2023. 11. 15 오후 9:57:28,,0,,,,,451258,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:57:35,,0,,,,,451800,0,0,0,0,0,0,0,0,0,0,-1,0
2023. 11. 15 오후 9:57:44,,0,,,,,466621,0,0,-1,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:57:52,,0,,,,,473377,0,0,0,-1,0,0,0,0,0,-1,-1,0
2023. 11. 15 오후 9:57:59,,0,,,,,473398,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:58:12,,0,,,,,481083,0,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:58:19,,0,,,,,427369,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:58:26,,0,,,,,428409,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:58:37,,0,,,,,429730,0,0,0,0,0,0,0,1,0,0,0,0
2023. 11. 15 오후 9:58:47,,0,,,,,430807,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:59:01,,0,,,,,431581,0,0,0,0,0,0,0,0,-1,0,0,0
2023. 11. 15 오후 9:59:09,,0,,,,,432996,0,0,0,0,0,0,0,0,1,0,0,0
2023. 11. 15 오후 9:59:17,,0,,,,,433351,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:59:23,,0,,,,,440526,0,1,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:59:29,,0,,,,,443797,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:59:35,,0,,,,,444714,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:59:46,,0,,,,,424894,0,0,0,0,0,0,0,1,0,0,0,0
2023. 11. 15 오후 9:59:54,,0,,,,,424908,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 10:00:00,,0,,,,,424997,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:00:06,,0,,,,,425603,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:00:12,,0,,,,,425799,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:00:19,,0,,,,,426362,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 10:00:25,,0,,,,,426985,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:00:33,,0,,,,,428712,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:00:40,,0,,,,,428733,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:00:52,,0,,,,,428834,0,0,0,0,0,0,0,-1,0,0,1,0
2023. 11. 15 오후 10:01:04,,0,,,,,424549,-1,0,0,-1,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:01:12,,0,,,,,427110,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:01:17,,0,,,,,428872,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:01:24,,0,,,,,428888,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 10:01:31,,0,,,,,429464,0,0,0,0,0,0,0,0,0,0,0,0
